record_index,collision_class,adjudication_basis,rationale_code
210,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
215,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
225,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
232,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
240,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
248,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
253,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
271,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
277,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
313,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
316,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
320,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
327,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
336,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
345,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
353,C1_strong_conceptual_threat,title_abstract,cardiovascular_system_identification_precedent
356,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
363,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
374,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
377,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
408,C1_strong_conceptual_threat,title_abstract,cardiovascular_system_identification_precedent
411,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
420,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
421,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
422,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
441,C1_strong_conceptual_threat,title_abstract,cardiovascular_system_identification_precedent
442,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
450,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
453,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
470,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
