record_index,collision_class,adjudication_basis,rationale_code
493,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
499,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
530,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
533,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
538,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
551,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
561,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
568,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
574,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
577,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
580,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
581,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
588,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
593,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
597,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
598,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
612,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
623,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
632,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
633,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
639,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
642,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
662,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
673,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
694,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
695,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
702,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
713,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
725,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
726,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
