record_index,collision_class,adjudication_basis,rationale_code
730,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
733,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
735,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
741,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
745,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
747,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
751,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
767,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
769,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
782,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
788,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
790,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
793,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
813,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
814,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
827,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
841,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
852,C2_strong_domain_neighbor,title_abstract,age_or_vascular_age_domain_neighbor_without_locked_aliasing_conjunction
855,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
875,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
879,C3_close_neighbor,title_abstract,related_wave_ageing_or_dynamics_without_direct_inverse_collision
